bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
DSK Madushanka,2,2,62,31,0,0,0,0,0,0,50,12.0,0,0,0,0,-4,0,0,23.0
SM Harwood,1,1,44,24,0,0,0,0,0,0,25,11.0,0,0,0,-2,0,0,0,23.0
CJ McKay,2,2,94,48,0,0,0,0,0,0,50,11.75,0,0,0,0,-4,0,0,23.0
SP Narine,9,8,251,180,1,0,4,0,0,0,200,8.366666666666667,0,0,0,0,0,0,0,22.77777777777778
KA Pollard,20,18,496,306,0,1,4,0,0,0,450,9.725490196078432,0,0,0,0,0,0,0,22.75
FA Allen,10,9,255,204,0,1,0,0,0,0,225,7.5,0,0,0,0,0,0,0,22.6
Joginder Sharma,2,2,94,42,0,1,0,0,0,0,50,13.428571428571429,0,0,0,0,0,-6,0,22.5
Bilawal Bhatti,2,2,68,24,0,1,0,0,0,0,50,17.0,0,0,0,0,0,-6,0,22.5
RA Jadeja,18,16,577,393,2,2,0,0,0,0,400,8.80916030534351,0,0,0,0,0,0,0,22.444444444444443
JM Anderson,8,7,275,186,0,3,0,0,0,0,175,8.870967741935484,0,0,0,0,0,0,0,22.25
Mosaddek Hossain,4,3,73,52,1,1,0,0,0,1,75,8.423076923076923,0,0,0,0,0,0,12,22.25
Mohammad Hasnain,8,7,324,192,1,0,4,0,0,0,175,10.125,0,0,0,-2,0,0,0,22.25
JR Hazlewood,9,8,351,216,0,0,0,0,0,0,200,9.75,0,0,0,0,0,0,0,22.22222222222222
Nashra Sandhu,1,1,23,12,1,0,0,0,0,0,25,11.5,0,0,0,0,-4,0,0,22.0
S Aravind,1,1,44,22,0,1,0,0,0,0,25,12.0,0,0,0,0,-4,0,0,22.0
A Nehra,11,9,353,246,0,3,0,0,0,1,225,8.609756097560975,0,0,0,0,0,0,12,21.818181818181817
I Udana,7,6,232,144,1,1,0,0,0,0,150,9.666666666666668,0,0,0,0,0,0,0,21.714285714285715
HR Walsh,11,9,356,240,0,2,8,0,0,0,225,8.9,0,0,0,0,0,0,0,21.363636363636363
SS Pathirana,1,1,45,24,0,0,0,0,0,0,25,11.25,0,0,0,0,-4,0,0,21.0
A Nortje,6,5,206,126,1,0,0,0,0,0,125,9.80952380952381,0,0,0,0,0,0,0,21.0
KOK Williams,7,6,308,166,0,1,0,0,0,0,150,11.132530120481928,0,0,0,0,-4,0,0,21.0
Naseem Shah,1,1,45,24,0,0,0,0,0,0,25,11.25,0,0,0,0,-4,0,0,21.0
Abu Jayed,1,1,45,24,0,0,0,0,0,0,25,11.25,0,0,0,0,-4,0,0,21.0
CR Woakes,5,4,140,90,0,0,4,0,0,0,100,9.333333333333334,0,0,0,0,0,0,0,20.8
B Lee,5,4,121,114,0,2,0,0,0,0,100,6.368421052631579,0,0,2,0,0,0,0,20.8
G Wareham,5,4,85,78,0,0,0,0,0,0,100,6.538461538461538,0,0,2,0,0,0,0,20.4
L Sipamla,3,2,90,50,0,1,0,0,0,1,50,10.8,0,0,0,-2,0,0,12,20.333333333333332
AD Russell,15,12,465,258,0,2,4,0,0,0,300,10.813953488372093,0,0,0,-2,0,0,0,20.266666666666666
EA Perry,8,6,141,144,1,2,4,0,0,0,150,5.875,0,4,0,0,0,0,0,20.125
SPD Smith,5,4,118,78,0,0,0,0,0,0,100,9.076923076923077,0,0,0,0,0,0,0,20.0
GHS Garton,1,1,57,24,0,1,0,0,0,0,25,14.25,0,0,0,0,0,-6,0,20.0
DJ Malan,1,1,27,12,0,1,0,0,0,0,25,13.5,0,0,0,0,0,-6,0,20.0
