striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
JP Inglis,3,72,48,3,7,1,4,0,0,150.0,72,7,2,-6,0,0,2,0,0,0,27.0
GSNFG Jayasuriya,4,92,83,4,8,4,8,0,0,110.8433734939759,92,8,8,-8,0,0,0,0,0,0,27.0
AJ Finch,14,329,267,14,41,5,16,8,0,123.22097378277152,329,41,10,-28,0,0,0,0,0,0,26.857142857142858
JM Bairstow,13,296,248,13,32,8,12,16,0,119.35483870967742,296,32,16,-26,0,0,0,0,0,0,26.615384615384617
Bismah Maroof,6,145,161,6,18,0,8,0,0,90.06211180124224,145,18,0,-12,0,0,0,0,0,0,26.5
MS Wade,8,178,111,8,12,8,8,8,0,160.36036036036037,178,12,16,-16,0,4,0,0,0,0,26.25
Sabbir Rahman,9,207,175,9,13,8,8,8,0,118.28571428571428,207,13,16,-18,0,0,0,0,0,0,26.0
Yasir Ali Chowdhury,2,43,23,2,5,2,4,0,0,186.95652173913044,43,5,4,-4,6,0,0,0,0,-6,26.0
Shamsur Rahman,1,22,15,1,4,0,0,0,0,146.66666666666666,22,4,0,-2,0,0,2,0,0,0,26.0
BM Duckett,3,68,47,3,10,0,4,0,0,144.6808510638298,68,10,0,-6,0,0,2,0,0,0,26.0
TT Beaumont,11,245,222,11,28,3,12,16,0,110.36036036036036,245,28,6,-22,0,0,0,0,0,0,25.90909090909091
H Kaur,10,219,168,10,16,11,12,8,0,130.35714285714286,219,16,22,-20,0,0,2,0,0,0,25.9
N Pooran,13,298,259,13,20,14,8,8,0,115.05791505791505,298,20,28,-26,0,0,0,0,0,0,25.846153846153847
Javeria Khan,6,135,141,6,13,1,8,8,0,95.74468085106383,135,13,2,-12,0,0,0,0,0,0,25.666666666666668
RL Haynes,5,107,74,5,12,2,4,8,0,144.5945945945946,107,12,4,-10,0,0,2,0,0,0,25.4
V Krishnamurthy,5,110,80,5,7,5,8,0,0,137.5,110,7,10,-10,0,0,2,0,0,0,25.4
JDS Neesham,10,216,127,10,17,14,8,0,0,170.07874015748033,216,17,28,-20,6,0,0,0,0,-6,24.9
BA King,8,168,132,8,17,7,8,8,0,127.27272727272727,168,17,14,-16,0,0,0,0,0,0,24.875
BKG Mendis,12,249,184,12,20,11,12,16,0,135.32608695652172,249,20,22,-24,0,0,2,0,0,0,24.75
CL Tryon,8,169,91,8,15,10,8,0,0,185.71428571428572,169,15,20,-16,6,0,0,0,0,-6,24.5
JH Kallis,2,42,39,2,1,3,4,0,0,107.6923076923077,42,1,6,-4,0,0,0,0,0,0,24.5
DJS Dottin,5,103,93,5,11,3,4,8,0,110.75268817204301,103,11,6,-10,0,0,0,0,0,0,24.4
RT Ponting,5,104,88,5,16,0,4,8,0,118.18181818181819,104,16,0,-10,0,0,0,0,0,0,24.4
Tamim Iqbal,11,232,183,11,32,5,8,8,0,126.77595628415301,232,32,10,-22,0,0,0,0,0,0,24.363636363636363
M Kapp,3,70,66,3,3,3,0,0,0,106.06060606060606,70,3,6,-6,0,0,0,0,0,0,24.333333333333332
DAJ Bracewell,4,79,48,4,3,7,4,0,0,164.58333333333331,79,3,14,-8,0,4,0,0,0,0,24.0
JT Smuts,4,85,75,4,9,3,4,0,0,113.33333333333333,85,9,6,-8,0,0,0,0,0,0,24.0
A Shrubsole,1,22,11,1,2,1,0,0,0,200.0,22,2,2,-2,6,0,0,0,0,-6,24.0
DR Flynn,1,22,19,1,0,2,0,0,0,115.78947368421053,22,0,4,-2,0,0,0,0,0,0,24.0
Rafatullah Mohmand,1,23,24,1,3,0,0,0,0,95.83333333333334,23,3,0,-2,0,0,0,0,0,0,24.0
L Wolvaardt,6,127,97,6,7,5,8,0,0,130.9278350515464,127,7,10,-12,0,0,2,0,0,0,23.666666666666668
MDKJ Perera,16,321,250,16,33,9,12,24,0,128.4,321,33,18,-32,0,0,0,0,0,0,23.5
Iftikhar Ahmed,9,189,145,9,12,7,12,0,0,130.3448275862069,189,12,14,-18,0,0,2,0,0,0,23.444444444444443
I Udana,7,137,79,7,11,9,4,8,0,173.41772151898732,137,11,18,-14,6,0,0,0,0,-6,23.428571428571427
HH Pandya,9,188,148,9,12,7,12,0,0,127.02702702702702,188,12,14,-18,0,0,0,0,0,0,23.11111111111111
Ibrahim Zadran,2,42,42,2,2,1,4,0,0,100.0,42,2,2,-4,0,0,0,0,0,0,23.0
FA Allen,6,114,78,6,7,9,8,0,0,146.15384615384613,114,7,18,-12,0,0,2,0,0,0,22.833333333333332
C Kieswetter,5,97,89,5,9,5,8,0,0,108.98876404494382,97,9,10,-10,0,0,0,0,0,0,22.8
TM Head,3,61,43,3,3,2,4,0,0,141.86046511627907,61,3,4,-6,0,0,2,0,0,0,22.666666666666668
Afif Hossain,8,160,129,8,9,6,8,8,0,124.03100775193798,160,9,12,-16,0,0,0,0,0,0,22.625
Shahid Afridi,14,270,162,14,18,18,8,8,0,166.66666666666669,270,18,36,-28,0,4,0,0,0,0,22.571428571428573
MN Samuels,14,275,213,14,29,9,12,8,0,129.10798122065728,275,29,18,-28,0,0,0,0,0,0,22.428571428571427
SR Watson,7,129,95,7,4,12,12,0,0,135.78947368421052,129,4,24,-14,0,0,2,0,0,0,22.428571428571427
JA Morkel,6,112,60,6,4,11,8,0,0,186.66666666666666,112,4,22,-12,6,0,0,0,0,-6,22.333333333333332
MEK Hussey,8,160,116,8,18,3,8,0,0,137.93103448275863,160,18,6,-16,0,0,2,0,0,0,22.25
EA Perry,4,80,60,4,7,2,4,0,0,133.33333333333331,80,7,4,-8,0,0,2,0,0,0,22.25
Liton Das,13,253,200,13,24,7,16,8,0,126.49999999999999,253,24,14,-26,0,0,0,0,0,0,22.23076923076923
Shoaib Malik,18,359,281,18,32,6,16,16,0,127.75800711743773,359,32,12,-36,0,0,0,0,0,0,22.166666666666668
