striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
Pankaj Singh,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
AJ Turner,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
S Lamichhane,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
Swapnil Singh,2,2,3,2,0,0,0,0,0,66.66666666666666,2,0,0,-4,0,0,0,-2,0,0,-2.0
PWH de Silva,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
TU Deshpande,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
GHS Garton,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
MS Gony,2,0,4,2,0,0,0,0,0,0.0,0,0,0,-4,0,0,0,0,0,0,-2.0
GD McGrath,1,0,2,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
Mohammad Asif,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
HC Brook,1,0,4,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
Naveen-ul-Haq,1,2,3,1,0,0,0,0,0,66.66666666666666,2,0,0,-2,0,0,0,-2,0,0,-2.0
JJ van der Wath,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
S Sriram,1,4,7,1,0,0,0,0,0,57.14285714285714,4,0,0,-2,0,0,0,0,-4,0,-2.0
DJ Willey,1,0,2,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
DG Nalkande,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
DE Bollinger,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
P Awana,1,0,2,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
KM Asif,1,0,2,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
CK Langeveldt,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
JL Denly,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
