striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
Rumana Ahmed,1,13,12,1,1,0,0,0,0,108.33333333333333,13,1,0,-2,0,0,0,0,0,0,12.0
JE Taylor,5,55,36,5,5,3,0,0,0,152.77777777777777,55,5,6,-10,0,4,0,0,0,0,12.0
OF Smith,7,77,50,7,7,5,0,0,0,154.0,77,7,10,-14,0,4,0,0,0,0,12.0
AC Agar,8,92,63,8,8,4,0,0,0,146.03174603174602,92,8,8,-16,0,0,2,0,0,0,11.75
Faheem Ashraf,6,62,38,6,6,3,4,0,0,163.1578947368421,62,6,6,-12,0,4,0,0,0,0,11.666666666666666
Saeed Ajmal,2,24,21,2,1,1,0,0,0,114.28571428571428,24,1,2,-4,0,0,0,0,0,0,11.5
RL Chase,2,21,15,2,4,0,0,0,0,140.0,21,4,0,-4,0,0,2,0,0,0,11.5
Umar Amin,2,21,9,2,0,3,0,0,0,233.33333333333334,21,0,6,-4,6,0,0,0,0,-6,11.5
Haris Sohail,2,20,13,2,3,0,0,0,0,153.84615384615387,20,3,0,-4,0,4,0,0,0,0,11.5
Sohaib Maqsood,5,55,41,5,4,3,0,0,0,134.14634146341464,55,4,6,-10,0,0,2,0,0,0,11.4
Imad Wasim,8,86,55,8,11,1,4,0,0,156.36363636363637,86,11,2,-16,0,4,0,0,0,0,11.375
JO Holder,12,129,98,12,8,8,4,0,0,131.6326530612245,129,8,16,-24,0,0,2,0,0,0,11.25
IR Bell,4,48,53,4,5,0,0,0,0,90.56603773584906,48,5,0,-8,0,0,0,0,0,0,11.25
RL Haynes,5,57,48,5,5,0,4,0,0,118.75,57,5,0,-10,0,0,0,0,0,0,11.2
JA Morkel,7,76,44,7,6,5,0,0,0,172.72727272727272,76,6,10,-14,6,0,0,0,0,-6,11.142857142857142
TG Southee,12,126,74,12,9,9,4,0,0,170.27027027027026,126,9,18,-24,6,0,0,0,0,-6,11.083333333333334
XM Marshall,2,24,25,2,2,0,0,0,0,96.0,24,2,0,-4,0,0,0,0,0,0,11.0
Nazmul Hossain Shanto,1,11,12,1,2,0,0,0,0,91.66666666666666,11,2,0,-2,0,0,0,0,0,0,11.0
SACA King,1,13,17,1,0,0,0,0,0,76.47058823529412,13,0,0,-2,0,0,0,0,0,0,11.0
AJ Tye,5,51,33,5,2,4,0,0,0,154.54545454545453,51,2,8,-10,0,4,0,0,0,0,11.0
Z Khan,1,9,6,1,0,1,0,0,0,150.0,9,0,2,-2,0,0,2,0,0,0,11.0
KOA Powell,1,12,14,1,1,0,0,0,0,85.71428571428571,12,1,0,-2,0,0,0,0,0,0,11.0
LA Dawson,1,10,3,1,1,1,0,0,0,333.33333333333337,10,1,2,-2,6,0,0,0,0,-6,11.0
